==============================================================================
ConserveFM unified parallel scheduler
==============================================================================
plan rows       : 2
train rows      : 1
eval rows       : 1
max parallel    : 1
GPU             : 0
smoke           : False
==============================================================================

[STATUS 2026-09-12 07:01:39] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=5% RAMavail=54.7/62.8GiB uEMA=5% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:01:41] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=23% RAMavail=54.7/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:01:43] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=11% RAMavail=55.0/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:01:45] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=54.8/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:01:48] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=3% RAMavail=54.8/62.8GiB uEMA=7% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:01:50] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=54.8/62.8GiB uEMA=6% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:01:52] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=54.8/62.8GiB uEMA=5% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:01:54] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=6% RAMavail=54.9/62.8GiB uEMA=5% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:01:56] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=24% RAMavail=54.8/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:01:58] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=54.8/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:00] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=55.0/62.8GiB uEMA=6% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:02] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=24% RAMavail=54.8/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:04] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=6% RAMavail=55.0/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:06] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=54.9/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:08] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=14% RAMavail=55.0/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:10] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=26% RAMavail=55.6/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:12] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=41% RAMavail=55.6/62.8GiB uEMA=21% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:14] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=52% RAMavail=55.9/62.8GiB uEMA=28% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:16] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.4/62.8GiB uEMA=27% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:18] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=23% RAMavail=55.0/62.8GiB uEMA=26% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:20] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=54.8/62.8GiB uEMA=19% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:22] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=54.6/62.8GiB uEMA=16% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:24] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=54.9/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:26] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.8/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:29] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=54.9/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:31] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=25% RAMavail=55.1/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:33] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.1/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:35] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=24% RAMavail=55.2/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:37] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.4/62.8GiB uEMA=16% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:39] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.3/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:41] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.5/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:43] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.5/62.8GiB uEMA=9% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:45] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=21% RAMavail=55.7/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:47] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.7/62.8GiB uEMA=15% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:49] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=17% RAMavail=55.6/62.8GiB uEMA=15% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:51] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=25% RAMavail=56.0/62.8GiB uEMA=18% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:53] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=56.0/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:55] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.7/62.8GiB uEMA=16% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:57] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.7/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:59] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.6/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:01] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=15% RAMavail=56.0/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:03] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=56.0/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
