============================================================================
ERA5 ZARR INTEGRITY CHECK
============================================================================
root   : /home/tahiti/ConserveFM/data/ERA5_WeatherBench2_1979_2022
repair : True
[INFO] geopotential                   shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] temperature                    shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] specific_humidity              shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] u_component_of_wind            shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] v_component_of_wind            shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] 2m_temperature                 shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] 10m_u_component_of_wind        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] 10m_v_component_of_wind        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] mean_sea_level_pressure        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] surface_pressure               shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] total_precipitation_6hr        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] total time chunks = 128,623

[VARIABLE] geopotential chunks=11,693
[PROGRESS] 250/128,623 0.19% bad=0 repaired=0 failed=0 speed=1613.6 chunks/s ETA=1.3 min
[PROGRESS] 500/128,623 0.39% bad=0 repaired=0 failed=0 speed=1687.0 chunks/s ETA=1.3 min
[PROGRESS] 750/128,623 0.58% bad=0 repaired=0 failed=0 speed=1709.2 chunks/s ETA=1.2 min
[PROGRESS] 1,000/128,623 0.78% bad=0 repaired=0 failed=0 speed=1724.7 chunks/s ETA=1.2 min
[PROGRESS] 1,250/128,623 0.97% bad=0 repaired=0 failed=0 speed=1728.6 chunks/s ETA=1.2 min
[PROGRESS] 1,500/128,623 1.17% bad=0 repaired=0 failed=0 speed=1731.1 chunks/s ETA=1.2 min
[PROGRESS] 1,750/128,623 1.36% bad=0 repaired=0 failed=0 speed=1729.9 chunks/s ETA=1.2 min
[PROGRESS] 2,000/128,623 1.55% bad=0 repaired=0 failed=0 speed=1733.9 chunks/s ETA=1.2 min
[PROGRESS] 2,250/128,623 1.75% bad=0 repaired=0 failed=0 speed=1733.8 chunks/s ETA=1.2 min
[PROGRESS] 2,500/128,623 1.94% bad=0 repaired=0 failed=0 speed=1736.2 chunks/s ETA=1.2 min
[PROGRESS] 2,750/128,623 2.14% bad=0 repaired=0 failed=0 speed=1739.1 chunks/s ETA=1.2 min
[PROGRESS] 3,000/128,623 2.33% bad=0 repaired=0 failed=0 speed=1741.0 chunks/s ETA=1.2 min
[PROGRESS] 3,250/128,623 2.53% bad=0 repaired=0 failed=0 speed=1742.2 chunks/s ETA=1.2 min
[PROGRESS] 3,500/128,623 2.72% bad=0 repaired=0 failed=0 speed=1749.7 chunks/s ETA=1.2 min
[PROGRESS] 3,750/128,623 2.92% bad=0 repaired=0 failed=0 speed=1201.9 chunks/s ETA=1.7 min
[PROGRESS] 4,000/128,623 3.11% bad=0 repaired=0 failed=0 speed=779.3 chunks/s ETA=2.7 min
[PROGRESS] 4,250/128,623 3.30% bad=0 repaired=0 failed=0 speed=604.3 chunks/s ETA=3.4 min
[PROGRESS] 4,500/128,623 3.50% bad=0 repaired=0 failed=0 speed=500.7 chunks/s ETA=4.1 min
[PROGRESS] 4,750/128,623 3.69% bad=0 repaired=0 failed=0 speed=438.5 chunks/s ETA=4.7 min
[PROGRESS] 5,000/128,623 3.89% bad=0 repaired=0 failed=0 speed=396.9 chunks/s ETA=5.2 min
[PROGRESS] 5,250/128,623 4.08% bad=0 repaired=0 failed=0 speed=365.4 chunks/s ETA=5.6 min
[PROGRESS] 5,500/128,623 4.28% bad=0 repaired=0 failed=0 speed=340.6 chunks/s ETA=6.0 min
[PROGRESS] 5,750/128,623 4.47% bad=0 repaired=0 failed=0 speed=321.5 chunks/s ETA=6.4 min
[PROGRESS] 6,000/128,623 4.66% bad=0 repaired=0 failed=0 speed=306.1 chunks/s ETA=6.7 min
[PROGRESS] 6,250/128,623 4.86% bad=0 repaired=0 failed=0 speed=292.1 chunks/s ETA=7.0 min
[PROGRESS] 6,500/128,623 5.05% bad=0 repaired=0 failed=0 speed=280.9 chunks/s ETA=7.2 min
[PROGRESS] 6,750/128,623 5.25% bad=0 repaired=0 failed=0 speed=271.6 chunks/s ETA=7.5 min
[PROGRESS] 7,000/128,623 5.44% bad=0 repaired=0 failed=0 speed=262.9 chunks/s ETA=7.7 min
[PROGRESS] 7,250/128,623 5.64% bad=0 repaired=0 failed=0 speed=255.3 chunks/s ETA=7.9 min
[PROGRESS] 7,500/128,623 5.83% bad=0 repaired=0 failed=0 speed=247.6 chunks/s ETA=8.2 min
[PROGRESS] 7,750/128,623 6.03% bad=0 repaired=0 failed=0 speed=240.9 chunks/s ETA=8.4 min
[PROGRESS] 8,000/128,623 6.22% bad=0 repaired=0 failed=0 speed=235.1 chunks/s ETA=8.5 min
[PROGRESS] 8,250/128,623 6.41% bad=0 repaired=0 failed=0 speed=230.1 chunks/s ETA=8.7 min
[PROGRESS] 8,500/128,623 6.61% bad=0 repaired=0 failed=0 speed=224.6 chunks/s ETA=8.9 min
[PROGRESS] 8,750/128,623 6.80% bad=0 repaired=0 failed=0 speed=219.9 chunks/s ETA=9.1 min
[PROGRESS] 9,000/128,623 7.00% bad=0 repaired=0 failed=0 speed=215.2 chunks/s ETA=9.3 min
[PROGRESS] 9,250/128,623 7.19% bad=0 repaired=0 failed=0 speed=210.7 chunks/s ETA=9.4 min
[PROGRESS] 9,500/128,623 7.39% bad=0 repaired=0 failed=0 speed=207.7 chunks/s ETA=9.6 min
[PROGRESS] 9,750/128,623 7.58% bad=0 repaired=0 failed=0 speed=205.1 chunks/s ETA=9.7 min
[PROGRESS] 10,000/128,623 7.77% bad=0 repaired=0 failed=0 speed=202.7 chunks/s ETA=9.8 min
[PROGRESS] 10,250/128,623 7.97% bad=0 repaired=0 failed=0 speed=200.0 chunks/s ETA=9.9 min
[PROGRESS] 10,500/128,623 8.16% bad=0 repaired=0 failed=0 speed=198.0 chunks/s ETA=9.9 min
[PROGRESS] 10,750/128,623 8.36% bad=0 repaired=0 failed=0 speed=196.2 chunks/s ETA=10.0 min
[PROGRESS] 11,000/128,623 8.55% bad=0 repaired=0 failed=0 speed=194.3 chunks/s ETA=10.1 min
[PROGRESS] 11,250/128,623 8.75% bad=0 repaired=0 failed=0 speed=192.3 chunks/s ETA=10.2 min
[PROGRESS] 11,500/128,623 8.94% bad=0 repaired=0 failed=0 speed=190.5 chunks/s ETA=10.2 min

[VARIABLE] temperature chunks=11,693
[PROGRESS] 11,750/128,623 9.14% bad=0 repaired=0 failed=0 speed=189.8 chunks/s ETA=10.3 min
[PROGRESS] 12,000/128,623 9.33% bad=0 repaired=0 failed=0 speed=193.4 chunks/s ETA=10.0 min
[PROGRESS] 12,250/128,623 9.52% bad=0 repaired=0 failed=0 speed=197.0 chunks/s ETA=9.8 min
[PROGRESS] 12,500/128,623 9.72% bad=0 repaired=0 failed=0 speed=200.6 chunks/s ETA=9.6 min
[PROGRESS] 12,750/128,623 9.91% bad=0 repaired=0 failed=0 speed=204.2 chunks/s ETA=9.5 min
[PROGRESS] 13,000/128,623 10.11% bad=0 repaired=0 failed=0 speed=207.8 chunks/s ETA=9.3 min
[PROGRESS] 13,250/128,623 10.30% bad=0 repaired=0 failed=0 speed=211.3 chunks/s ETA=9.1 min
[PROGRESS] 13,500/128,623 10.50% bad=0 repaired=0 failed=0 speed=214.9 chunks/s ETA=8.9 min
[PROGRESS] 13,750/128,623 10.69% bad=0 repaired=0 failed=0 speed=218.4 chunks/s ETA=8.8 min
[PROGRESS] 14,000/128,623 10.88% bad=0 repaired=0 failed=0 speed=221.9 chunks/s ETA=8.6 min
[PROGRESS] 14,250/128,623 11.08% bad=0 repaired=0 failed=0 speed=225.4 chunks/s ETA=8.5 min
[PROGRESS] 14,500/128,623 11.27% bad=0 repaired=0 failed=0 speed=228.9 chunks/s ETA=8.3 min
[PROGRESS] 14,750/128,623 11.47% bad=0 repaired=0 failed=0 speed=232.3 chunks/s ETA=8.2 min
[PROGRESS] 15,000/128,623 11.66% bad=0 repaired=0 failed=0 speed=235.8 chunks/s ETA=8.0 min
[PROGRESS] 15,250/128,623 11.86% bad=0 repaired=0 failed=0 speed=239.2 chunks/s ETA=7.9 min
