station_id,file,size_bytes,size_human,present
01001099999,01001099999.csv,3025698,2.89 MiB,True
01001499999,01001499999.csv,1900320,1.81 MiB,True
01002099999,01002099999.csv,145363,141.96 KiB,True
01003099999,01003099999.csv,429820,419.75 KiB,True
01006099999,01006099999.csv,153103,149.51 KiB,True
01007099999,01007099999.csv,654098,638.77 KiB,True
01008099999,01008099999.csv,8067311,7.69 MiB,True
01009099999,01009099999.csv,154064,150.45 KiB,True
01010099999,01010099999.csv,7432506,7.09 MiB,True
01011099999,01011099999.csv,153478,149.88 KiB,True
01015099999,01015099999.csv,584086,570.40 KiB,True
01016099999,01016099999.csv,130960,127.89 KiB,True
01017099999,01017099999.csv,125965,123.01 KiB,True
01020099999,01020099999.csv,130467,127.41 KiB,True
01023099999,01023099999.csv,8410474,8.02 MiB,True
01023199999,01023199999.csv,5866782,5.59 MiB,True
01024099999,01024099999.csv,33341,32.56 KiB,True
01025099999,01025099999.csv,8522728,8.13 MiB,True
01026099999,01026099999.csv,3122327,2.98 MiB,True
01027099999,01027099999.csv,934602,912.70 KiB,True
01028099999,01028099999.csv,580476,566.87 KiB,True
01030099999,01030099999.csv,582073,568.43 KiB,True
01033099999,01033099999.csv,663166,647.62 KiB,True
01035099999,01035099999.csv,132409,129.31 KiB,True
01037099999,01037099999.csv,724800,707.81 KiB,True
01042099999,01042099999.csv,105390,102.92 KiB,True
01043099999,01043099999.csv,100248,97.90 KiB,True
01044099999,01044099999.csv,6078772,5.80 MiB,True
01045099999,01045099999.csv,2519891,2.40 MiB,True
01046099999,01046099999.csv,7642479,7.29 MiB,True
01047099999,01047099999.csv,233666,228.19 KiB,True
01049099999,01049099999.csv,6775317,6.46 MiB,True
01052099999,01052099999.csv,8663653,8.26 MiB,True
01055099999,01055099999.csv,721552,704.64 KiB,True
01057099999,01057099999.csv,373525,364.77 KiB,True
01058099999,01058099999.csv,742810,725.40 KiB,True
01059099999,01059099999.csv,7284811,6.95 MiB,True
01062099999,01062099999.csv,1651394,1.57 MiB,True
01065099999,01065099999.csv,834578,815.02 KiB,True
01068099999,01068099999.csv,6938139,6.62 MiB,True
01074099999,01074099999.csv,6129479,5.85 MiB,True
