run_id,step
train_climax_conservefm_full_s42,116280
train_climax_direct_state_prediction_s42,115280
train_climax_direct_state_prediction_s43,115210
train_climax_direct_state_prediction_s44,114580
train_climax_conservefm_full_s44,113580
train_climax_equal_constraint_weights_s42,112330
train_climax_conservefm_full_s43,111210
train_climax_equal_constraint_weights_s43,109550
train_climax_manual_tuned_weights_s43,101550
train_climax_no_corruption_pretrain_s42,100280
train_climax_no_advection_corruption_s42,100280
train_climax_no_corruption_pretrain_s43,100210
train_climax_no_advection_corruption_s43,99210
train_climax_no_advection_corruption_s44,98580
train_climax_no_corruption_pretrain_s44,98580
train_climax_no_hydrostatic_constraint_s43,97060
train_climax_no_advection_constraint_s43,97060
train_climax_equal_constraint_weights_s44,96600
train_climax_manual_tuned_weights_s44,96600
train_climax_no_hydrostatic_constraint_s44,96490
train_climax_no_advection_constraint_s44,96490
train_climax_manual_tuned_weights_s42,96330
train_climax_no_hydrostatic_constraint_s42,95730
train_climax_no_advection_constraint_s42,95730
train_climax_no_constraint_type_head_s43,89240
train_climax_no_hydrostatic_corruption_s42,89150
train_climax_no_constraint_type_head_s42,89010
train_climax_no_constraint_type_head_s44,88960
train_climax_no_hydrostatic_corruption_s43,64760
