sample_id,split,context_steps,context_start_idx,context_end_idx,target_idx,context_start,context_end,target_time,lead_hours
train_029237_lead006,train,4,29234,29237,29238,1979-01-04T12:00:00,1979-01-05T06:00:00,1979-01-05T12:00:00,6
train_029237_lead024,train,4,29234,29237,29241,1979-01-04T12:00:00,1979-01-05T06:00:00,1979-01-06T06:00:00,24
train_029237_lead072,train,4,29234,29237,29249,1979-01-04T12:00:00,1979-01-05T06:00:00,1979-01-08T06:00:00,72
train_029265_lead006,train,4,29262,29265,29266,1979-01-11T12:00:00,1979-01-12T06:00:00,1979-01-12T12:00:00,6
train_029265_lead024,train,4,29262,29265,29269,1979-01-11T12:00:00,1979-01-12T06:00:00,1979-01-13T06:00:00,24
train_029265_lead072,train,4,29262,29265,29277,1979-01-11T12:00:00,1979-01-12T06:00:00,1979-01-15T06:00:00,72
train_029294_lead006,train,4,29291,29294,29295,1979-01-18T18:00:00,1979-01-19T12:00:00,1979-01-19T18:00:00,6
train_029294_lead024,train,4,29291,29294,29298,1979-01-18T18:00:00,1979-01-19T12:00:00,1979-01-20T12:00:00,24
train_029294_lead072,train,4,29291,29294,29306,1979-01-18T18:00:00,1979-01-19T12:00:00,1979-01-22T12:00:00,72
train_029322_lead006,train,4,29319,29322,29323,1979-01-25T18:00:00,1979-01-26T12:00:00,1979-01-26T18:00:00,6
train_029322_lead024,train,4,29319,29322,29326,1979-01-25T18:00:00,1979-01-26T12:00:00,1979-01-27T12:00:00,24
train_029322_lead072,train,4,29319,29322,29334,1979-01-25T18:00:00,1979-01-26T12:00:00,1979-01-29T12:00:00,72
train_029351_lead006,train,4,29348,29351,29352,1979-02-02T00:00:00,1979-02-02T18:00:00,1979-02-03T00:00:00,6
train_029351_lead024,train,4,29348,29351,29355,1979-02-02T00:00:00,1979-02-02T18:00:00,1979-02-03T18:00:00,24
train_029351_lead072,train,4,29348,29351,29363,1979-02-02T00:00:00,1979-02-02T18:00:00,1979-02-05T18:00:00,72
train_029379_lead006,train,4,29376,29379,29380,1979-02-09T00:00:00,1979-02-09T18:00:00,1979-02-10T00:00:00,6
train_029379_lead024,train,4,29376,29379,29383,1979-02-09T00:00:00,1979-02-09T18:00:00,1979-02-10T18:00:00,24
train_029379_lead072,train,4,29376,29379,29391,1979-02-09T00:00:00,1979-02-09T18:00:00,1979-02-12T18:00:00,72
train_029408_lead006,train,4,29405,29408,29409,1979-02-16T06:00:00,1979-02-17T00:00:00,1979-02-17T06:00:00,6
train_029408_lead024,train,4,29405,29408,29412,1979-02-16T06:00:00,1979-02-17T00:00:00,1979-02-18T00:00:00,24
train_029408_lead072,train,4,29405,29408,29420,1979-02-16T06:00:00,1979-02-17T00:00:00,1979-02-20T00:00:00,72
train_029436_lead006,train,4,29433,29436,29437,1979-02-23T06:00:00,1979-02-24T00:00:00,1979-02-24T06:00:00,6
train_029436_lead024,train,4,29433,29436,29440,1979-02-23T06:00:00,1979-02-24T00:00:00,1979-02-25T00:00:00,24
train_029436_lead072,train,4,29433,29436,29448,1979-02-23T06:00:00,1979-02-24T00:00:00,1979-02-27T00:00:00,72
train_029465_lead006,train,4,29462,29465,29466,1979-03-02T12:00:00,1979-03-03T06:00:00,1979-03-03T12:00:00,6
train_029465_lead024,train,4,29462,29465,29469,1979-03-02T12:00:00,1979-03-03T06:00:00,1979-03-04T06:00:00,24
train_029465_lead072,train,4,29462,29465,29477,1979-03-02T12:00:00,1979-03-03T06:00:00,1979-03-06T06:00:00,72
train_029494_lead006,train,4,29491,29494,29495,1979-03-09T18:00:00,1979-03-10T12:00:00,1979-03-10T18:00:00,6
train_029494_lead024,train,4,29491,29494,29498,1979-03-09T18:00:00,1979-03-10T12:00:00,1979-03-11T12:00:00,24
train_029494_lead072,train,4,29491,29494,29506,1979-03-09T18:00:00,1979-03-10T12:00:00,1979-03-13T12:00:00,72
train_029522_lead006,train,4,29519,29522,29523,1979-03-16T18:00:00,1979-03-17T12:00:00,1979-03-17T18:00:00,6
train_029522_lead024,train,4,29519,29522,29526,1979-03-16T18:00:00,1979-03-17T12:00:00,1979-03-18T12:00:00,24
