sample_id,split,context_steps,context_start_idx,context_end_idx,target_idx,context_start,context_end,target_time,lead_hours
train_057369_lead006,train,4,57366,57369,57370,1998-04-07T12:00:00,1998-04-08T06:00:00,1998-04-08T12:00:00,6
train_041752_lead024,train,4,41749,41752,41756,1987-07-30T06:00:00,1987-07-31T00:00:00,1987-08-01T00:00:00,24
train_062021_lead006,train,4,62018,62021,62022,2001-06-13T12:00:00,2001-06-14T06:00:00,2001-06-14T12:00:00,6
train_084630_lead072,train,4,84627,84630,84642,2016-12-03T18:00:00,2016-12-04T12:00:00,2016-12-07T12:00:00,72
train_043051_lead006,train,4,43048,43051,43052,1988-06-19T00:00:00,1988-06-19T18:00:00,1988-06-20T00:00:00,6
train_037135_lead072,train,4,37132,37135,37147,1984-06-01T00:00:00,1984-06-01T18:00:00,1984-06-04T18:00:00,72
train_073012_lead024,train,4,73009,73012,73016,2008-12-21T06:00:00,2008-12-22T00:00:00,2008-12-23T00:00:00,24
train_049804_lead072,train,4,49801,49804,49816,1993-02-01T06:00:00,1993-02-02T00:00:00,1993-02-05T00:00:00,72
train_049302_lead006,train,4,49299,49302,49303,1992-09-28T18:00:00,1992-09-29T12:00:00,1992-09-29T18:00:00,6
train_061078_lead024,train,4,61075,61078,61082,2000-10-20T18:00:00,2000-10-21T12:00:00,2000-10-22T12:00:00,24
train_065307_lead006,train,4,65304,65307,65308,2003-09-13T00:00:00,2003-09-13T18:00:00,2003-09-14T00:00:00,6
train_060239_lead006,train,4,60236,60239,60240,2000-03-25T00:00:00,2000-03-25T18:00:00,2000-03-26T00:00:00,6
train_032582_lead006,train,4,32579,32582,32583,1981-04-19T18:00:00,1981-04-20T12:00:00,1981-04-20T18:00:00,6
train_059441_lead006,train,4,59438,59441,59442,1999-09-07T12:00:00,1999-09-08T06:00:00,1999-09-08T12:00:00,6
train_049489_lead024,train,4,49486,49489,49493,1992-11-14T12:00:00,1992-11-15T06:00:00,1992-11-16T06:00:00,24
train_071750_lead072,train,4,71747,71750,71762,2008-02-09T18:00:00,2008-02-10T12:00:00,2008-02-13T12:00:00,72
train_068249_lead006,train,4,68246,68249,68250,2005-09-17T12:00:00,2005-09-18T06:00:00,2005-09-18T12:00:00,6
train_075616_lead024,train,4,75613,75616,75620,2010-10-03T06:00:00,2010-10-04T00:00:00,2010-10-05T00:00:00,24
train_074975_lead006,train,4,74972,74975,74976,2010-04-26T00:00:00,2010-04-26T18:00:00,2010-04-27T00:00:00,6
train_060004_lead006,train,4,60001,60004,60005,2000-01-26T06:00:00,2000-01-27T00:00:00,2000-01-27T06:00:00,6
train_048299_lead072,train,4,48296,48299,48311,1992-01-22T00:00:00,1992-01-22T18:00:00,1992-01-25T18:00:00,72
train_058422_lead006,train,4,58419,58422,58423,1998-12-26T18:00:00,1998-12-27T12:00:00,1998-12-27T18:00:00,6
train_068626_lead072,train,4,68623,68626,68638,2005-12-20T18:00:00,2005-12-21T12:00:00,2005-12-24T12:00:00,72
train_035991_lead072,train,4,35988,35991,36003,1983-08-20T00:00:00,1983-08-20T18:00:00,1983-08-23T18:00:00,72
train_086050_lead006,train,4,86047,86050,86051,2017-11-23T18:00:00,2017-11-24T12:00:00,2017-11-24T18:00:00,6
