year,split,era5_temporal_overlap,path,present,size_bytes
1979,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1979.csv.gz,True,148387728
1980,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1980.csv.gz,True,148860719
1981,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1981.csv.gz,True,151925552
1982,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1982.csv.gz,True,153774824
1983,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1983.csv.gz,True,155161543
1984,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1984.csv.gz,True,153609623
1985,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1985.csv.gz,True,152062608
1986,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1986.csv.gz,True,151046029
1987,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1987.csv.gz,True,151052154
1988,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1988.csv.gz,True,151842193
1989,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1989.csv.gz,True,152317844
1990,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1990.csv.gz,True,152437123
1991,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1991.csv.gz,True,153125437
1992,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1992.csv.gz,True,153303018
1993,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1993.csv.gz,True,152153285
1994,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1994.csv.gz,True,151113657
1995,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1995.csv.gz,True,150777718
1996,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1996.csv.gz,True,151064663
1997,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1997.csv.gz,True,149783805
1998,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1998.csv.gz,True,152767403
1999,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/1999.csv.gz,True,155594309
2000,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2000.csv.gz,True,157556245
2001,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2001.csv.gz,True,159987235
2002,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2002.csv.gz,True,161590721
2003,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2003.csv.gz,True,165219074
2004,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2004.csv.gz,True,167759072
2005,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2005.csv.gz,True,164594077
2006,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2006.csv.gz,True,171146314
2007,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2007.csv.gz,True,174261354
2008,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2008.csv.gz,True,181980258
2009,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2009.csv.gz,True,185060568
2010,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2010.csv.gz,True,186761052
2011,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2011.csv.gz,True,177240612
2012,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2012.csv.gz,True,174720994
2013,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2013.csv.gz,True,169322027
2014,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2014.csv.gz,True,167600161
2015,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2015.csv.gz,True,170068176
2016,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2016.csv.gz,True,171424157
2017,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2017.csv.gz,True,171081636
2018,train,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2018.csv.gz,True,171323898
2019,val,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2019.csv.gz,True,170200232
2020,val,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2020.csv.gz,True,171044088
2021,test,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2021.csv.gz,True,173981110
2022,test,True,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2022.csv.gz,True,174136139
2023,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/GHCN_Daily_by_year/2023.csv.gz,True,174416105
