dataset_root,relative_path,size_bytes,size_human,mtime
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/.zattrs,191,191.00 B,2026-07-15T23:33:04
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/.zgroup,24,24.00 B,2026-07-13T14:27:13
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/.zmetadata,13294,12.98 KiB,2026-07-15T23:33:04
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/.zarray,369,369.00 B,2026-07-13T14:27:27
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/.zattrs,187,187.00 B,2026-07-13T14:27:27
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10000.0.0,816178,797.05 KiB,2026-07-15T21:18:30
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10001.0.0,817031,797.88 KiB,2026-07-15T21:18:30
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10002.0.0,816404,797.27 KiB,2026-07-15T21:25:14
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10003.0.0,818532,799.35 KiB,2026-07-15T21:18:30
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10004.0.0,815832,796.71 KiB,2026-07-15T21:18:29
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10005.0.0,815454,796.34 KiB,2026-07-15T21:18:30
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10006.0.0,816984,797.84 KiB,2026-07-15T21:18:30
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10007.0.0,816440,797.30 KiB,2026-07-15T21:18:30
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10008.0.0,817203,798.05 KiB,2026-07-15T21:18:30
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10009.0.0,816919,797.77 KiB,2026-07-15T21:18:31
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10010.0.0,815912,796.79 KiB,2026-07-15T21:18:30
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10011.0.0,817269,798.11 KiB,2026-07-15T21:18:30
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10012.0.0,818935,799.74 KiB,2026-07-15T21:18:32
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10013.0.0,817754,798.59 KiB,2026-07-15T21:18:32
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10014.0.0,818354,799.17 KiB,2026-07-15T21:18:33
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10015.0.0,816130,797.00 KiB,2026-07-15T21:18:32
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10016.0.0,816187,797.06 KiB,2026-07-15T21:18:31
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10017.0.0,813964,794.89 KiB,2026-07-15T21:18:32
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10018.0.0,816131,797.00 KiB,2026-07-15T21:18:32
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10019.0.0,814125,795.04 KiB,2026-07-15T21:18:32
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10020.0.0,814160,795.08 KiB,2026-07-15T21:18:32
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10021.0.0,815634,796.52 KiB,2026-07-15T21:18:32
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10022.0.0,816511,797.37 KiB,2026-07-15T21:18:33
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10023.0.0,816387,797.25 KiB,2026-07-15T21:18:33
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10024.0.0,816763,797.62 KiB,2026-07-15T21:18:33
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10025.0.0,815784,796.66 KiB,2026-07-15T21:18:33
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10026.0.0,815048,795.95 KiB,2026-07-15T21:18:34
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10027.0.0,815711,796.59 KiB,2026-07-15T21:18:34
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10028.0.0,814857,795.76 KiB,2026-07-15T21:18:34
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10029.0.0,815146,796.04 KiB,2026-07-15T21:18:34
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10030.0.0,817061,797.91 KiB,2026-07-15T21:18:34
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10031.0.0,817452,798.29 KiB,2026-07-15T21:18:35
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10032.0.0,818738,799.55 KiB,2026-07-15T21:18:35
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10033.0.0,816267,797.14 KiB,2026-07-15T21:18:35
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10034.0.0,815904,796.78 KiB,2026-07-15T21:18:35
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10035.0.0,817576,798.41 KiB,2026-07-15T21:18:35
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10036.0.0,815954,796.83 KiB,2026-07-15T21:18:36
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10037.0.0,817005,797.86 KiB,2026-07-15T21:18:36
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10038.0.0,818600,799.41 KiB,2026-07-15T21:18:37
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10039.0.0,815759,796.64 KiB,2026-07-15T21:18:36
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10040.0.0,816680,797.54 KiB,2026-07-15T21:18:36
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10041.0.0,819540,800.33 KiB,2026-07-15T21:18:36
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10042.0.0,816099,796.97 KiB,2026-07-15T21:18:36
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10043.0.0,815704,796.59 KiB,2026-07-15T21:18:36
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10044.0.0,819334,800.13 KiB,2026-07-15T21:18:36
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10045.0.0,819173,799.97 KiB,2026-07-15T21:18:37
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10046.0.0,816461,797.33 KiB,2026-07-15T21:18:38
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10047.0.0,816211,797.08 KiB,2026-07-15T21:18:38
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10048.0.0,816805,797.66 KiB,2026-07-15T21:18:38
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10049.0.0,815535,796.42 KiB,2026-07-15T21:18:38
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10050.0.0,815395,796.28 KiB,2026-07-15T21:18:38
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10051.0.0,816302,797.17 KiB,2026-07-15T21:18:38
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10052.0.0,817545,798.38 KiB,2026-07-15T21:18:38
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10053.0.0,817408,798.25 KiB,2026-07-15T21:18:38
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10054.0.0,817573,798.41 KiB,2026-07-15T21:18:38
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10055.0.0,816312,797.18 KiB,2026-07-15T21:18:40
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10056.0.0,817049,797.90 KiB,2026-07-15T21:18:39
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10057.0.0,816974,797.83 KiB,2026-07-15T21:18:40
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10058.0.0,819857,800.64 KiB,2026-07-15T21:18:39
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10059.0.0,818127,798.95 KiB,2026-07-15T21:18:39
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10060.0.0,818525,799.34 KiB,2026-07-15T21:18:39
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10061.0.0,817505,798.34 KiB,2026-07-15T21:18:39
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10062.0.0,816654,797.51 KiB,2026-07-15T21:18:39
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10063.0.0,816046,796.92 KiB,2026-07-15T21:18:40
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10064.0.0,817131,797.98 KiB,2026-07-15T21:18:40
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10065.0.0,817154,798.00 KiB,2026-07-15T21:18:40
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10066.0.0,817781,798.61 KiB,2026-07-15T21:18:40
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10067.0.0,817685,798.52 KiB,2026-07-15T21:18:40
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10068.0.0,817040,797.89 KiB,2026-07-15T21:18:41
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10069.0.0,816710,797.57 KiB,2026-07-15T21:18:41
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10070.0.0,816923,797.78 KiB,2026-07-15T21:18:41
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10071.0.0,814717,795.62 KiB,2026-07-15T21:18:42
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10072.0.0,815012,795.91 KiB,2026-07-15T21:18:42
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10073.0.0,817465,798.31 KiB,2026-07-15T21:18:43
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10074.0.0,817509,798.35 KiB,2026-07-15T21:18:43
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10075.0.0,815243,796.14 KiB,2026-07-15T21:18:43
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10076.0.0,816160,797.03 KiB,2026-07-15T21:18:43
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10077.0.0,817148,798.00 KiB,2026-07-15T21:18:42
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10078.0.0,816261,797.13 KiB,2026-07-15T21:18:43
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10079.0.0,816277,797.15 KiB,2026-07-15T21:18:44
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10080.0.0,816488,797.35 KiB,2026-07-15T21:18:44
ERA5_WeatherBench2_1979_2022,ERA5_WeatherBench2_1979_2022/10m_u_component_of_wind/10081.0.0,817218,798.06 KiB,2026-07-15T21:18:43
