variable,year,expected_chunks,present_chunks,missing_chunks,coverage_percent,complete
geopotential,1979,183,183,0,100.0,True
geopotential,1980,183,183,0,100.0,True
geopotential,1981,183,183,0,100.0,True
geopotential,1982,183,183,0,100.0,True
geopotential,1983,183,183,0,100.0,True
geopotential,1984,184,184,0,100.0,True
geopotential,1985,183,183,0,100.0,True
geopotential,1986,183,183,0,100.0,True
geopotential,1987,183,183,0,100.0,True
geopotential,1988,183,183,0,100.0,True
geopotential,1989,183,183,0,100.0,True
geopotential,1990,183,183,0,100.0,True
geopotential,1991,183,183,0,100.0,True
geopotential,1992,184,184,0,100.0,True
geopotential,1993,183,183,0,100.0,True
geopotential,1994,183,183,0,100.0,True
geopotential,1995,183,183,0,100.0,True
geopotential,1996,183,183,0,100.0,True
geopotential,1997,183,183,0,100.0,True
geopotential,1998,183,183,0,100.0,True
geopotential,1999,183,183,0,100.0,True
geopotential,2000,184,184,0,100.0,True
geopotential,2001,183,183,0,100.0,True
geopotential,2002,183,183,0,100.0,True
geopotential,2003,183,183,0,100.0,True
geopotential,2004,183,183,0,100.0,True
geopotential,2005,183,183,0,100.0,True
geopotential,2006,183,183,0,100.0,True
geopotential,2007,183,183,0,100.0,True
geopotential,2008,184,184,0,100.0,True
geopotential,2009,183,183,0,100.0,True
geopotential,2010,183,183,0,100.0,True
geopotential,2011,183,183,0,100.0,True
geopotential,2012,183,183,0,100.0,True
geopotential,2013,183,183,0,100.0,True
geopotential,2014,183,183,0,100.0,True
geopotential,2015,183,183,0,100.0,True
geopotential,2016,184,184,0,100.0,True
geopotential,2017,183,183,0,100.0,True
geopotential,2018,183,183,0,100.0,True
geopotential,2019,183,183,0,100.0,True
geopotential,2020,183,183,0,100.0,True
geopotential,2021,183,183,0,100.0,True
geopotential,2022,183,183,0,100.0,True
temperature,1979,183,183,0,100.0,True
temperature,1980,183,183,0,100.0,True
temperature,1981,183,183,0,100.0,True
temperature,1982,183,183,0,100.0,True
temperature,1983,183,183,0,100.0,True
temperature,1984,184,184,0,100.0,True
temperature,1985,183,183,0,100.0,True
temperature,1986,183,183,0,100.0,True
temperature,1987,183,183,0,100.0,True
temperature,1988,183,183,0,100.0,True
temperature,1989,183,183,0,100.0,True
temperature,1990,183,183,0,100.0,True
temperature,1991,183,183,0,100.0,True
temperature,1992,184,184,0,100.0,True
temperature,1993,183,183,0,100.0,True
temperature,1994,183,183,0,100.0,True
temperature,1995,183,183,0,100.0,True
temperature,1996,183,183,0,100.0,True
temperature,1997,183,183,0,100.0,True
temperature,1998,183,183,0,100.0,True
temperature,1999,183,183,0,100.0,True
temperature,2000,184,184,0,100.0,True
temperature,2001,183,183,0,100.0,True
temperature,2002,183,183,0,100.0,True
temperature,2003,183,183,0,100.0,True
temperature,2004,183,183,0,100.0,True
temperature,2005,183,183,0,100.0,True
temperature,2006,183,183,0,100.0,True
temperature,2007,183,183,0,100.0,True
temperature,2008,184,184,0,100.0,True
temperature,2009,183,183,0,100.0,True
temperature,2010,183,183,0,100.0,True
temperature,2011,183,183,0,100.0,True
temperature,2012,183,183,0,100.0,True
temperature,2013,183,183,0,100.0,True
temperature,2014,183,183,0,100.0,True
temperature,2015,183,183,0,100.0,True
temperature,2016,184,184,0,100.0,True
temperature,2017,183,183,0,100.0,True
temperature,2018,183,183,0,100.0,True
temperature,2019,183,183,0,100.0,True
temperature,2020,183,183,0,100.0,True
temperature,2021,183,183,0,100.0,True
temperature,2022,183,183,0,100.0,True
specific_humidity,1979,183,183,0,100.0,True
specific_humidity,1980,183,183,0,100.0,True
specific_humidity,1981,183,183,0,100.0,True
specific_humidity,1982,183,183,0,100.0,True
specific_humidity,1983,183,183,0,100.0,True
specific_humidity,1984,184,184,0,100.0,True
specific_humidity,1985,183,183,0,100.0,True
specific_humidity,1986,183,183,0,100.0,True
specific_humidity,1987,183,183,0,100.0,True
specific_humidity,1988,183,183,0,100.0,True
specific_humidity,1989,183,183,0,100.0,True
specific_humidity,1990,183,183,0,100.0,True
specific_humidity,1991,183,183,0,100.0,True
specific_humidity,1992,184,184,0,100.0,True
specific_humidity,1993,183,183,0,100.0,True
specific_humidity,1994,183,183,0,100.0,True
specific_humidity,1995,183,183,0,100.0,True
specific_humidity,1996,183,183,0,100.0,True
specific_humidity,1997,183,183,0,100.0,True
specific_humidity,1998,183,183,0,100.0,True
specific_humidity,1999,183,183,0,100.0,True
specific_humidity,2000,184,184,0,100.0,True
specific_humidity,2001,183,183,0,100.0,True
specific_humidity,2002,183,183,0,100.0,True
specific_humidity,2003,183,183,0,100.0,True
specific_humidity,2004,183,183,0,100.0,True
specific_humidity,2005,183,183,0,100.0,True
specific_humidity,2006,183,183,0,100.0,True
specific_humidity,2007,183,183,0,100.0,True
specific_humidity,2008,184,184,0,100.0,True
specific_humidity,2009,183,183,0,100.0,True
specific_humidity,2010,183,183,0,100.0,True
specific_humidity,2011,183,183,0,100.0,True
specific_humidity,2012,183,183,0,100.0,True
specific_humidity,2013,183,183,0,100.0,True
specific_humidity,2014,183,183,0,100.0,True
specific_humidity,2015,183,183,0,100.0,True
specific_humidity,2016,184,184,0,100.0,True
specific_humidity,2017,183,183,0,100.0,True
specific_humidity,2018,183,183,0,100.0,True
specific_humidity,2019,183,183,0,100.0,True
specific_humidity,2020,183,183,0,100.0,True
specific_humidity,2021,183,183,0,100.0,True
specific_humidity,2022,183,183,0,100.0,True
u_component_of_wind,1979,183,183,0,100.0,True
u_component_of_wind,1980,183,183,0,100.0,True
u_component_of_wind,1981,183,183,0,100.0,True
u_component_of_wind,1982,183,183,0,100.0,True
u_component_of_wind,1983,183,183,0,100.0,True
u_component_of_wind,1984,184,184,0,100.0,True
u_component_of_wind,1985,183,183,0,100.0,True
u_component_of_wind,1986,183,183,0,100.0,True
u_component_of_wind,1987,183,183,0,100.0,True
u_component_of_wind,1988,183,183,0,100.0,True
u_component_of_wind,1989,183,183,0,100.0,True
u_component_of_wind,1990,183,183,0,100.0,True
u_component_of_wind,1991,183,183,0,100.0,True
u_component_of_wind,1992,184,184,0,100.0,True
u_component_of_wind,1993,183,183,0,100.0,True
u_component_of_wind,1994,183,183,0,100.0,True
u_component_of_wind,1995,183,183,0,100.0,True
u_component_of_wind,1996,183,183,0,100.0,True
u_component_of_wind,1997,183,183,0,100.0,True
u_component_of_wind,1998,183,183,0,100.0,True
u_component_of_wind,1999,183,183,0,100.0,True
u_component_of_wind,2000,184,184,0,100.0,True
u_component_of_wind,2001,183,183,0,100.0,True
u_component_of_wind,2002,183,183,0,100.0,True
u_component_of_wind,2003,183,183,0,100.0,True
u_component_of_wind,2004,183,183,0,100.0,True
u_component_of_wind,2005,183,183,0,100.0,True
u_component_of_wind,2006,183,183,0,100.0,True
u_component_of_wind,2007,183,183,0,100.0,True
