variable,time_chunk_index,chunk_file,chunk_start,chunk_end,present,size_bytes,size_human
geopotential,3652,3652.0.0.0,1978-12-31T00:00:00.000000000,1979-01-01T18:00:00.000000000,True,7693817,7.34 MiB
geopotential,3653,3653.0.0.0,1979-01-02T00:00:00.000000000,1979-01-03T18:00:00.000000000,True,7682875,7.33 MiB
geopotential,3654,3654.0.0.0,1979-01-04T00:00:00.000000000,1979-01-05T18:00:00.000000000,True,7698592,7.34 MiB
geopotential,3655,3655.0.0.0,1979-01-06T00:00:00.000000000,1979-01-07T18:00:00.000000000,True,7688860,7.33 MiB
geopotential,3656,3656.0.0.0,1979-01-08T00:00:00.000000000,1979-01-09T18:00:00.000000000,True,7679129,7.32 MiB
geopotential,3657,3657.0.0.0,1979-01-10T00:00:00.000000000,1979-01-11T18:00:00.000000000,True,7664018,7.31 MiB
geopotential,3658,3658.0.0.0,1979-01-12T00:00:00.000000000,1979-01-13T18:00:00.000000000,True,7658453,7.30 MiB
geopotential,3659,3659.0.0.0,1979-01-14T00:00:00.000000000,1979-01-15T18:00:00.000000000,True,7664642,7.31 MiB
geopotential,3660,3660.0.0.0,1979-01-16T00:00:00.000000000,1979-01-17T18:00:00.000000000,True,7662906,7.31 MiB
geopotential,3661,3661.0.0.0,1979-01-18T00:00:00.000000000,1979-01-19T18:00:00.000000000,True,7656183,7.30 MiB
geopotential,3662,3662.0.0.0,1979-01-20T00:00:00.000000000,1979-01-21T18:00:00.000000000,True,7645309,7.29 MiB
geopotential,3663,3663.0.0.0,1979-01-22T00:00:00.000000000,1979-01-23T18:00:00.000000000,True,7647634,7.29 MiB
geopotential,3664,3664.0.0.0,1979-01-24T00:00:00.000000000,1979-01-25T18:00:00.000000000,True,7635799,7.28 MiB
geopotential,3665,3665.0.0.0,1979-01-26T00:00:00.000000000,1979-01-27T18:00:00.000000000,True,7619752,7.27 MiB
geopotential,3666,3666.0.0.0,1979-01-28T00:00:00.000000000,1979-01-29T18:00:00.000000000,True,7619261,7.27 MiB
geopotential,3667,3667.0.0.0,1979-01-30T00:00:00.000000000,1979-01-31T18:00:00.000000000,True,7627410,7.27 MiB
geopotential,3668,3668.0.0.0,1979-02-01T00:00:00.000000000,1979-02-02T18:00:00.000000000,True,7636977,7.28 MiB
geopotential,3669,3669.0.0.0,1979-02-03T00:00:00.000000000,1979-02-04T18:00:00.000000000,True,7621571,7.27 MiB
geopotential,3670,3670.0.0.0,1979-02-05T00:00:00.000000000,1979-02-06T18:00:00.000000000,True,7627242,7.27 MiB
geopotential,3671,3671.0.0.0,1979-02-07T00:00:00.000000000,1979-02-08T18:00:00.000000000,True,7658800,7.30 MiB
geopotential,3672,3672.0.0.0,1979-02-09T00:00:00.000000000,1979-02-10T18:00:00.000000000,True,7658220,7.30 MiB
geopotential,3673,3673.0.0.0,1979-02-11T00:00:00.000000000,1979-02-12T18:00:00.000000000,True,7642480,7.29 MiB
geopotential,3674,3674.0.0.0,1979-02-13T00:00:00.000000000,1979-02-14T18:00:00.000000000,True,7648747,7.29 MiB
geopotential,3675,3675.0.0.0,1979-02-15T00:00:00.000000000,1979-02-16T18:00:00.000000000,True,7689157,7.33 MiB
geopotential,3676,3676.0.0.0,1979-02-17T00:00:00.000000000,1979-02-18T18:00:00.000000000,True,7668173,7.31 MiB
geopotential,3677,3677.0.0.0,1979-02-19T00:00:00.000000000,1979-02-20T18:00:00.000000000,True,7679213,7.32 MiB
geopotential,3678,3678.0.0.0,1979-02-21T00:00:00.000000000,1979-02-22T18:00:00.000000000,True,7698975,7.34 MiB
geopotential,3679,3679.0.0.0,1979-02-23T00:00:00.000000000,1979-02-24T18:00:00.000000000,True,7696520,7.34 MiB
geopotential,3680,3680.0.0.0,1979-02-25T00:00:00.000000000,1979-02-26T18:00:00.000000000,True,7689601,7.33 MiB
geopotential,3681,3681.0.0.0,1979-02-27T00:00:00.000000000,1979-02-28T18:00:00.000000000,True,7706107,7.35 MiB
geopotential,3682,3682.0.0.0,1979-03-01T00:00:00.000000000,1979-03-02T18:00:00.000000000,True,7683285,7.33 MiB
geopotential,3683,3683.0.0.0,1979-03-03T00:00:00.000000000,1979-03-04T18:00:00.000000000,True,7666984,7.31 MiB
geopotential,3684,3684.0.0.0,1979-03-05T00:00:00.000000000,1979-03-06T18:00:00.000000000,True,7655498,7.30 MiB
geopotential,3685,3685.0.0.0,1979-03-07T00:00:00.000000000,1979-03-08T18:00:00.000000000,True,7637267,7.28 MiB
geopotential,3686,3686.0.0.0,1979-03-09T00:00:00.000000000,1979-03-10T18:00:00.000000000,True,7655915,7.30 MiB
geopotential,3687,3687.0.0.0,1979-03-11T00:00:00.000000000,1979-03-12T18:00:00.000000000,True,7668557,7.31 MiB
geopotential,3688,3688.0.0.0,1979-03-13T00:00:00.000000000,1979-03-14T18:00:00.000000000,True,7655200,7.30 MiB
