year,file,present,size_bytes,size_human
1979,1979.csv.gz,True,148387728,141.51 MiB
1980,1980.csv.gz,True,148860719,141.96 MiB
1981,1981.csv.gz,True,151925552,144.89 MiB
1982,1982.csv.gz,True,153774824,146.65 MiB
1983,1983.csv.gz,True,155161543,147.97 MiB
1984,1984.csv.gz,True,153609623,146.49 MiB
1985,1985.csv.gz,True,152062608,145.02 MiB
1986,1986.csv.gz,True,151046029,144.05 MiB
1987,1987.csv.gz,True,151052154,144.05 MiB
1988,1988.csv.gz,True,151842193,144.81 MiB
1989,1989.csv.gz,True,152317844,145.26 MiB
1990,1990.csv.gz,True,152437123,145.38 MiB
1991,1991.csv.gz,True,153125437,146.03 MiB
1992,1992.csv.gz,True,153303018,146.20 MiB
1993,1993.csv.gz,True,152153285,145.10 MiB
1994,1994.csv.gz,True,151113657,144.11 MiB
1995,1995.csv.gz,True,150777718,143.79 MiB
1996,1996.csv.gz,True,151064663,144.07 MiB
1997,1997.csv.gz,True,149783805,142.84 MiB
1998,1998.csv.gz,True,152767403,145.69 MiB
1999,1999.csv.gz,True,155594309,148.39 MiB
2000,2000.csv.gz,True,157556245,150.26 MiB
2001,2001.csv.gz,True,159987235,152.58 MiB
2002,2002.csv.gz,True,161590721,154.10 MiB
2003,2003.csv.gz,True,165219074,157.57 MiB
2004,2004.csv.gz,True,167759072,159.99 MiB
2005,2005.csv.gz,True,164594077,156.97 MiB
2006,2006.csv.gz,True,171146314,163.22 MiB
2007,2007.csv.gz,True,174261354,166.19 MiB
2008,2008.csv.gz,True,181980258,173.55 MiB
2009,2009.csv.gz,True,185060568,176.49 MiB
2010,2010.csv.gz,True,186761052,178.11 MiB
2011,2011.csv.gz,True,177240612,169.03 MiB
2012,2012.csv.gz,True,174720994,166.63 MiB
2013,2013.csv.gz,True,169322027,161.48 MiB
2014,2014.csv.gz,True,167600161,159.84 MiB
2015,2015.csv.gz,True,170068176,162.19 MiB
2016,2016.csv.gz,True,171424157,163.48 MiB
2017,2017.csv.gz,True,171081636,163.16 MiB
2018,2018.csv.gz,True,171323898,163.39 MiB
2019,2019.csv.gz,True,170200232,162.32 MiB
2020,2020.csv.gz,True,171044088,163.12 MiB
2021,2021.csv.gz,True,173981110,165.92 MiB
2022,2022.csv.gz,True,174136139,166.07 MiB
2023,2023.csv.gz,True,174416105,166.34 MiB
