model,lead_hours,repaired_nrmse,repaired_nmae,repaired_acc,repaired_rmse_phys_mixed,repaired_mae_phys_mixed,corrupted_input_nrmse,nrmse_improvement_pct,localization_iou,type_accuracy,repair_l1_norm,repaired_phys_moisture,corrupted_input_phys_moisture,era5_target_phys_moisture,physics_improvement_moisture_pct,repaired_phys_hydrostatic,corrupted_input_phys_hydrostatic,era5_target_phys_hydrostatic,physics_improvement_hydrostatic_pct,repaired_phys_advection,corrupted_input_phys_advection,era5_target_phys_advection,physics_improvement_advection_pct,repaired_phys_spectral,corrupted_input_phys_spectral,era5_target_phys_spectral,physics_improvement_spectral_pct
Direct_State,6,0.214811039214741,0.13234486712266186,0.977343817836589,118.87183653550612,35.769370204739204,0.3217347011561559,33.28095585764455,0.04923585801319632,0.2,0.13889799527823926,0.0006285835050221066,0.0007572688482468948,1.5170947790466016e-05,-9.077093573172933,5.8209568487654904e-05,0.00039633777341805396,6.411178037524223e-05,73.21085762156446,3.361170542240143,3.3315673410892486,4.56413197517395,-4.231648195801087,0.68726537078619,2.7574159413576127,0.0008358538616448641,69.93353421110177
Direct_State,24,0.3007528029218915,0.17646236343351382,0.9552134181499856,128.05207968001514,40.5126547776846,0.33634662906739266,10.559444150041578,0.13470926145091652,0.2,0.10592689886689186,0.0005187372255022638,0.0006464437123213429,1.9070460893999552e-05,15.288416202021216,5.100406369820121e-05,0.00040225968259619547,5.423848779173568e-05,76.97638301085236,18.306486940383913,17.889547109603882,26.56687641143799,-12.800326705168734,1.0952006220817565,2.799042212963104,0.002622316940687597,52.69796365161308
Direct_State,72,0.40564949420555346,0.24290607465553551,0.9136146168179231,195.30741787656808,64.04700069381005,0.4182909830088084,3.010475977677114,0.12406752072274685,0.2,0.09170536156743765,0.0004661745435441844,0.0006465143633249681,8.717740638530813e-05,23.65396547697268,5.40520811227907e-05,0.00039920667913975196,5.628034705296159e-05,75.15899180711851,80.49555778503418,96.73956470489502,105.02366256713867,7.930926132006898,1.5577002793550492,2.898446708917618,0.005987295648083091,35.760425263076236
No_Pretrain,6,0.20349194217122202,0.12450345986716156,0.9796318162965999,135.34760221989518,37.596066600016194,0.3217450733537027,36.83316701141473,0.08957017548382282,0.2,0.14098069928586482,0.00034368427550361956,0.0007572332047857344,1.5170947790466016e-05,46.50239461336281,0.00035445384928607383,0.0003973065049649449,6.411178037524223e-05,16.378610843629094,4.068047660589218,3.3160441279411317,4.56413197517395,-21.79079496879326,2.347802925109863,2.757453295588493,0.0008358538616448641,17.03544150277236
No_Pretrain,24,0.2944220641568863,0.1721867446576998,0.957047771823157,140.91259959770096,40.35853275109445,0.3363502376704823,12.474086377570034,0.0888276906684041,0.2,0.09743661116808652,0.0002564995415013982,0.0006464864723966457,1.9070460893999552e-05,57.75438712892543,0.0003560096971341409,0.00040167182196455543,5.423848779173568e-05,17.05349344746877,28.423796892166138,17.889635133743287,26.56687641143799,-59.9696799318008,2.6202494353055954,2.798529380559921,0.002622316940687597,5.667604242970276
No_Pretrain,72,0.4043624414693654,0.2397808319458973,0.9142488219923198,199.30213093567227,59.522162951833664,0.41828762374488226,3.3265248777300016,0.08953524958342314,0.2,0.07076260950416327,0.0003587890201742994,0.0006464284590038006,8.717740638530813e-05,44.73905093023425,0.00035132329212501646,0.00039821907739678863,5.628034705296159e-05,17.806366995657008,136.17780952453614,98.47157669067383,105.02366256713867,-39.39368761801416,2.8773722767829897,2.897249138355255,0.005987295648083091,-1.2761115316643465
OLD_Full,6,0.25389813782144166,0.14734491838381805,0.9667671165369066,202.89606817759423,46.79386737229145,0.321739380160948,21.800166767060666,0.14004306057468058,0.2,0.13496982529759408,0.000506951368515729,0.0007572625283501111,1.5170947790466016e-05,12.53274554968582,0.00042979534446203617,0.00039735143254802094,6.411178037524223e-05,-8.652556885940083,4.826483809947968,3.3248757839202883,4.56413197517395,-44.13566264796607,2.6685373216867445,2.7570620983839036,0.0008358538616448641,4.2717318266686455
OLD_Full,24,0.32508529741168274,0.1862979349712701,0.947008067356319,193.9033896666886,46.73919882651812,0.3363617009047744,3.7040336512446492,0.11162161339016166,0.2,0.09176380056887865,0.00047394525972777046,0.0006465942220529542,1.9070460893999552e-05,16.056222704067036,0.00041185637965099884,0.0004013853136711987,5.423848779173568e-05,-1.2818163885822185,25.672742986679076,17.633035326004027,26.56687641143799,-44.58628022533683,2.8150126576423644,2.7995882272720336,0.002622316940687597,-1.0129066193535605
OLD_Full,72,0.42284977159365517,0.24846069908114427,0.9065782654332006,244.4852717871569,65.30108725725316,0.4182935944532137,-0.9460830689727395,0.0888513819368086,0.2,0.06907280096784234,0.0005441567227535415,0.0006466042301326525,8.717740638530813e-05,13.202282123390784,0.0004100172911421396,0.000398979856618098,5.628034705296159e-05,-1.6479488043338368,130.12419681549073,98.53842868804932,105.02366256713867,-33.45816032454101,2.9540212392807006,2.89806244969368,0.005987295648083091,-2.735750666805088
Smart_Final,6,0.2291447322720181,0.1450305739988732,0.9736311148575634,159.0440870935348,44.02382060758213,0.32174123703820295,28.85118209134103,0.07340994704027252,0.21953125,0.12556211687624455,0.0002501341172319371,0.0007571697191451676,1.5170947790466016e-05,78.54307616803057,0.00026230743515043287,0.0003980996989412233,6.411178037524223e-05,52.22141257151402,1.6984758883714677,3.3168901801109314,4.56413197517395,48.54201809104374,1.8835194885730744,2.7578692466020582,0.0008358538616448641,39.649606487166814
