run_id,backbone,family,method,seed,checkpoint_dir,needs_train,source_kind,source_checkpoint,prior_global_step,prior_best_val,prior_history_rows
train_climax_static_physics_loss_s42,climax,main,static_physics_loss,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_static_physics_loss_s42,1,budget_train,,0,,0
train_climax_static_physics_loss_s43,climax,main,static_physics_loss,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_static_physics_loss_s43,1,budget_train,,0,,0
train_climax_static_physics_loss_s44,climax,main,static_physics_loss,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_static_physics_loss_s44,1,budget_train,,0,,0
train_climax_residual_repair_s42,climax,main,residual_repair,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_residual_repair_s42,1,budget_train,,0,,0
train_climax_residual_repair_s43,climax,main,residual_repair,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_residual_repair_s43,1,budget_train,,0,,0
train_climax_residual_repair_s44,climax,main,residual_repair,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_residual_repair_s44,1,budget_train,,0,,0
train_climax_conservefm_full_s42,climax,main,conservefm_full,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_conservefm_full_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_conservefm_full_s42/checkpoint_best.pt,378941,0.0992639602627605,3
train_climax_conservefm_full_s43,climax,main,conservefm_full,43,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_conservefm_full_s43,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_conservefm_full_s43/checkpoint_best.pt,373941,0.099619599757716,3
train_climax_conservefm_full_s44,climax,main,conservefm_full,44,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_conservefm_full_s44,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_conservefm_full_s44/checkpoint_best.pt,375941,0.0992921262513846,3
train_climax_no_corruption_pretrain_s42,climax,corruption,no_corruption_pretrain,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_corruption_pretrain_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_corruption_pretrain_s42/checkpoint_best.pt,362941,0.0933188222115859,3
train_climax_no_corruption_pretrain_s43,climax,corruption,no_corruption_pretrain,43,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_corruption_pretrain_s43,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_corruption_pretrain_s43/checkpoint_best.pt,362941,0.0938012398546561,3
train_climax_no_corruption_pretrain_s44,climax,corruption,no_corruption_pretrain,44,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_corruption_pretrain_s44,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_corruption_pretrain_s44/checkpoint_best.pt,360941,0.0935381158487871,3
train_climax_no_moisture_corruption_s42,climax,corruption,no_moisture_corruption,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_moisture_corruption_s42,1,budget_train,,0,,0
train_climax_no_moisture_corruption_s43,climax,corruption,no_moisture_corruption,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_moisture_corruption_s43,1,budget_train,,0,,0
train_climax_no_moisture_corruption_s44,climax,corruption,no_moisture_corruption,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_moisture_corruption_s44,1,budget_train,,0,,0
train_climax_no_hydrostatic_corruption_s42,climax,corruption,no_hydrostatic_corruption,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_hydrostatic_corruption_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_hydrostatic_corruption_s42/checkpoint_best.pt,351941,0.0987539791967719,3
train_climax_no_hydrostatic_corruption_s43,climax,corruption,no_hydrostatic_corruption,43,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_hydrostatic_corruption_s43,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_hydrostatic_corruption_s43/checkpoint_best.pt,239294,0.1282418337650597,2
train_climax_no_hydrostatic_corruption_s44,climax,corruption,no_hydrostatic_corruption,44,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_hydrostatic_corruption_s44,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_hydrostatic_corruption_s44/checkpoint_best.pt,262941,0.0981956693576648,3
train_climax_no_advection_corruption_s42,climax,corruption,no_advection_corruption,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_advection_corruption_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_advection_corruption_s42/checkpoint_best.pt,362941,0.0991566169541329,3
train_climax_no_advection_corruption_s43,climax,corruption,no_advection_corruption,43,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_advection_corruption_s43,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_advection_corruption_s43/checkpoint_best.pt,361941,0.0991467754356563,3
train_climax_no_advection_corruption_s44,climax,corruption,no_advection_corruption,44,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_advection_corruption_s44,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_advection_corruption_s44/checkpoint_best.pt,360941,0.0991233928361907,3
train_climax_no_spectral_corruption_s42,climax,corruption,no_spectral_corruption,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_spectral_corruption_s42,1,budget_train,,0,,0
train_climax_no_spectral_corruption_s43,climax,corruption,no_spectral_corruption,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_spectral_corruption_s43,1,budget_train,,0,,0
train_climax_no_spectral_corruption_s44,climax,corruption,no_spectral_corruption,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_spectral_corruption_s44,1,budget_train,,0,,0
train_climax_no_range_extreme_corruption_s42,climax,corruption,no_range_extreme_corruption,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_range_extreme_corruption_s42,1,budget_train,,0,,0
train_climax_no_range_extreme_corruption_s43,climax,corruption,no_range_extreme_corruption,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_range_extreme_corruption_s43,1,budget_train,,0,,0
train_climax_no_range_extreme_corruption_s44,climax,corruption,no_range_extreme_corruption,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_range_extreme_corruption_s44,1,budget_train,,0,,0
train_climax_equal_constraint_weights_s42,climax,router,equal_constraint_weights,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_equal_constraint_weights_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_equal_constraint_weights_s42/checkpoint_best.pt,374941,0.1021813424304127,3
train_climax_equal_constraint_weights_s43,climax,router,equal_constraint_weights,43,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_equal_constraint_weights_s43,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_equal_constraint_weights_s43/checkpoint_best.pt,371941,0.1033991505391895,3
train_climax_equal_constraint_weights_s44,climax,router,equal_constraint_weights,44,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_equal_constraint_weights_s44,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_equal_constraint_weights_s44/checkpoint_best.pt,358941,0.1026805739384144,3
train_climax_static_learned_weights_s42,climax,router,static_learned_weights,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_static_learned_weights_s42,1,budget_train,,0,,0
train_climax_static_learned_weights_s43,climax,router,static_learned_weights,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_static_learned_weights_s43,1,budget_train,,0,,0
train_climax_static_learned_weights_s44,climax,router,static_learned_weights,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_static_learned_weights_s44,1,budget_train,,0,,0
train_climax_manual_tuned_weights_s42,climax,router,manual_tuned_weights,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_manual_tuned_weights_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_manual_tuned_weights_s42/checkpoint_best.pt,358941,0.1028797528706491,3
train_climax_manual_tuned_weights_s43,climax,router,manual_tuned_weights,43,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_manual_tuned_weights_s43,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_manual_tuned_weights_s43/checkpoint_best.pt,363941,0.1031319643370807,3
train_climax_manual_tuned_weights_s44,climax,router,manual_tuned_weights,44,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_manual_tuned_weights_s44,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_manual_tuned_weights_s44/checkpoint_best.pt,358941,0.1024752536322921,3
train_climax_no_localization_head_s42,climax,architecture,no_localization_head,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_localization_head_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_localization_head_s42/checkpoint_best.pt,262941,0.0979754972504451,3
train_climax_no_localization_head_s43,climax,architecture,no_localization_head,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_localization_head_s43,1,budget_train,,0,,0
train_climax_no_localization_head_s44,climax,architecture,no_localization_head,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_localization_head_s44,1,budget_train,,0,,0
train_climax_no_constraint_type_head_s42,climax,architecture,no_constraint_type_head,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_constraint_type_head_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_constraint_type_head_s42/checkpoint_best.pt,351941,0.098325407365337,3
train_climax_no_constraint_type_head_s43,climax,architecture,no_constraint_type_head,43,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_constraint_type_head_s43,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_constraint_type_head_s43/checkpoint_best.pt,351941,0.098991060280241,3
train_climax_no_constraint_type_head_s44,climax,architecture,no_constraint_type_head,44,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_constraint_type_head_s44,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_constraint_type_head_s44/checkpoint_best.pt,350941,0.0987558496417477,3
train_climax_no_minimal_change_s42,climax,architecture,no_minimal_change,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_minimal_change_s42,1,budget_train,,0,,0
train_climax_no_minimal_change_s43,climax,architecture,no_minimal_change,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_minimal_change_s43,1,budget_train,,0,,0
train_climax_no_minimal_change_s44,climax,architecture,no_minimal_change,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_minimal_change_s44,1,budget_train,,0,,0
train_climax_direct_state_prediction_s42,climax,architecture,direct_state_prediction,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_direct_state_prediction_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_direct_state_prediction_s42/checkpoint_best.pt,377941,0.096572655136697,3
train_climax_direct_state_prediction_s43,climax,architecture,direct_state_prediction,43,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_direct_state_prediction_s43,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_direct_state_prediction_s43/checkpoint_best.pt,377941,0.0973323613870889,3
train_climax_direct_state_prediction_s44,climax,architecture,direct_state_prediction,44,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_direct_state_prediction_s44,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_direct_state_prediction_s44/checkpoint_best.pt,376941,0.0969472537981346,3
train_climax_no_moisture_constraint_s42,climax,constraint,no_moisture_constraint,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_moisture_constraint_s42,1,budget_train,,0,,0
train_climax_no_moisture_constraint_s43,climax,constraint,no_moisture_constraint,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_moisture_constraint_s43,1,budget_train,,0,,0
train_climax_no_moisture_constraint_s44,climax,constraint,no_moisture_constraint,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_moisture_constraint_s44,1,budget_train,,0,,0
train_climax_no_hydrostatic_constraint_s42,climax,constraint,no_hydrostatic_constraint,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_hydrostatic_constraint_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_hydrostatic_constraint_s42/checkpoint_best.pt,357941,0.0989326616981998,3
train_climax_no_hydrostatic_constraint_s43,climax,constraint,no_hydrostatic_constraint,43,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_hydrostatic_constraint_s43,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_hydrostatic_constraint_s43/checkpoint_best.pt,359941,0.0995914381928742,3
train_climax_no_hydrostatic_constraint_s44,climax,constraint,no_hydrostatic_constraint,44,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_hydrostatic_constraint_s44,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_hydrostatic_constraint_s44/checkpoint_best.pt,358941,0.0990617565112188,3
train_climax_no_advection_constraint_s42,climax,constraint,no_advection_constraint,42,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_advection_constraint_s42,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_advection_constraint_s42/checkpoint_best.pt,357941,0.0992800528183579,3
train_climax_no_advection_constraint_s43,climax,constraint,no_advection_constraint,43,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_advection_constraint_s43,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_advection_constraint_s43/checkpoint_best.pt,359941,0.0990415869746357,3
train_climax_no_advection_constraint_s44,climax,constraint,no_advection_constraint,44,/home/tahiti/ConserveFM/runs/prelim20_ckpts/train_climax_no_advection_constraint_s44,0,reuse_best,/home/tahiti/ConserveFM/runs/train_climax_no_advection_constraint_s44/checkpoint_best.pt,358941,0.0993658555671572,3
train_climax_no_spectral_constraint_s42,climax,constraint,no_spectral_constraint,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_spectral_constraint_s42,1,budget_train,,0,,0
train_climax_no_spectral_constraint_s43,climax,constraint,no_spectral_constraint,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_spectral_constraint_s43,1,budget_train,,0,,0
train_climax_no_spectral_constraint_s44,climax,constraint,no_spectral_constraint,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_climax_no_spectral_constraint_s44,1,budget_train,,0,,0
train_fourcastnet_conservefm_full_s42,fourcastnet,backbone_transfer,conservefm_full,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_fourcastnet_conservefm_full_s42,1,budget_train,,0,,0
train_fourcastnet_conservefm_full_s43,fourcastnet,backbone_transfer,conservefm_full,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_fourcastnet_conservefm_full_s43,1,budget_train,,0,,0
train_fourcastnet_conservefm_full_s44,fourcastnet,backbone_transfer,conservefm_full,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_fourcastnet_conservefm_full_s44,1,budget_train,,0,,0
train_prithvi_wxc_conservefm_full_s42,prithvi_wxc,backbone_transfer,conservefm_full,42,/home/tahiti/ConserveFM/runs/prelim20_train/train_prithvi_wxc_conservefm_full_s42,1,budget_train,,0,,0
train_prithvi_wxc_conservefm_full_s43,prithvi_wxc,backbone_transfer,conservefm_full,43,/home/tahiti/ConserveFM/runs/prelim20_train/train_prithvi_wxc_conservefm_full_s43,1,budget_train,,0,,0
train_prithvi_wxc_conservefm_full_s44,prithvi_wxc,backbone_transfer,conservefm_full,44,/home/tahiti/ConserveFM/runs/prelim20_train/train_prithvi_wxc_conservefm_full_s44,1,budget_train,,0,,0
