run_id,backbone,method,seed,source_kind,status,global_step,best_val,last_val,elapsed_seconds,history_rows,checkpoint_best,checkpoint_last
train_climax_static_physics_loss_s42,climax,static_physics_loss,42,budget_train,completed,3000,0.1156182612758129,0.1156182612758129,1805.26,1,True,True
train_climax_static_physics_loss_s43,climax,static_physics_loss,43,budget_train,completed,3000,0.1146501963958144,0.1146501963958144,1781.13,1,True,True
train_climax_static_physics_loss_s44,climax,static_physics_loss,44,budget_train,completed,3000,0.1150612258352339,0.1150612258352339,1780.22,1,True,True
train_climax_residual_repair_s42,climax,residual_repair,42,budget_train,completed,3000,0.1069335264619439,0.1069335264619439,1805.57,1,True,True
train_climax_residual_repair_s43,climax,residual_repair,43,budget_train,completed,3000,0.108005381654948,0.108005381654948,1781.76,1,True,True
train_climax_residual_repair_s44,climax,residual_repair,44,budget_train,completed,3000,0.1072105874773114,0.1072105874773114,1780.27,1,True,True
train_climax_conservefm_full_s42,climax,conservefm_full,42,reuse_best,reused,378941,0.0992639602627605,,,0,True,False
train_climax_conservefm_full_s43,climax,conservefm_full,43,reuse_best,reused,373941,0.099619599757716,,,0,True,False
train_climax_conservefm_full_s44,climax,conservefm_full,44,reuse_best,reused,375941,0.0992921262513846,,,0,True,False
train_climax_no_corruption_pretrain_s42,climax,no_corruption_pretrain,42,reuse_best,reused,362941,0.0933188222115859,,,0,True,False
train_climax_no_corruption_pretrain_s43,climax,no_corruption_pretrain,43,reuse_best,reused,362941,0.0938012398546561,,,0,True,False
train_climax_no_corruption_pretrain_s44,climax,no_corruption_pretrain,44,reuse_best,reused,360941,0.0935381158487871,,,0,True,False
train_climax_no_moisture_corruption_s42,climax,no_moisture_corruption,42,budget_train,completed,6000,0.1157205454073846,0.1157205454073846,3772.99,2,True,True
train_climax_no_moisture_corruption_s43,climax,no_moisture_corruption,43,budget_train,completed,6000,0.1143621613737195,0.1143621613737195,3856.27,2,True,True
train_climax_no_moisture_corruption_s44,climax,no_moisture_corruption,44,budget_train,completed,6000,0.1134137194603681,0.1134137194603681,3773.29,2,True,True
train_climax_no_hydrostatic_corruption_s42,climax,no_hydrostatic_corruption,42,reuse_best,reused,351941,0.0987539791967719,,,0,True,False
train_climax_no_hydrostatic_corruption_s43,climax,no_hydrostatic_corruption,43,reuse_best,reused,239294,0.1282418337650597,,,0,True,False
train_climax_no_hydrostatic_corruption_s44,climax,no_hydrostatic_corruption,44,reuse_best,reused,262941,0.0981956693576648,,,0,True,False
train_climax_no_advection_corruption_s42,climax,no_advection_corruption,42,reuse_best,reused,362941,0.0991566169541329,,,0,True,False
train_climax_no_advection_corruption_s43,climax,no_advection_corruption,43,reuse_best,reused,361941,0.0991467754356563,,,0,True,False
train_climax_no_advection_corruption_s44,climax,no_advection_corruption,44,reuse_best,reused,360941,0.0991233928361907,,,0,True,False
train_climax_no_spectral_corruption_s42,climax,no_spectral_corruption,42,budget_train,completed,6000,0.118263132404536,0.118263132404536,3772.99,2,True,True
train_climax_no_spectral_corruption_s43,climax,no_spectral_corruption,43,budget_train,completed,6000,0.1183687450829893,0.1183687450829893,3825.87,2,True,True
train_climax_no_spectral_corruption_s44,climax,no_spectral_corruption,44,budget_train,completed,6000,0.1191562390886247,0.1191562390886247,3741.97,2,True,True
train_climax_no_range_extreme_corruption_s42,climax,no_range_extreme_corruption,42,budget_train,completed,6000,0.1195976645685732,0.1195976645685732,3675.68,2,True,True
train_climax_no_range_extreme_corruption_s43,climax,no_range_extreme_corruption,43,budget_train,completed,6000,0.1163976215757429,0.1163976215757429,3540.9,2,True,True
train_climax_no_range_extreme_corruption_s44,climax,no_range_extreme_corruption,44,budget_train,completed,6000,0.1148591816890984,0.1148591816890984,3506.94,2,True,True
train_climax_equal_constraint_weights_s42,climax,equal_constraint_weights,42,reuse_best,reused,374941,0.1021813424304127,,,0,True,False
train_climax_equal_constraint_weights_s43,climax,equal_constraint_weights,43,reuse_best,reused,371941,0.1033991505391895,,,0,True,False
train_climax_equal_constraint_weights_s44,climax,equal_constraint_weights,44,reuse_best,reused,358941,0.1026805739384144,,,0,True,False
train_climax_static_learned_weights_s42,climax,static_learned_weights,42,budget_train,completed,6000,0.1156755106057971,0.1156755106057971,3675.68,2,True,True
train_climax_static_learned_weights_s43,climax,static_learned_weights,43,budget_train,completed,6000,0.1152123638894409,0.1152123638894409,3448.01,2,True,True
train_climax_static_learned_weights_s44,climax,static_learned_weights,44,budget_train,completed,6000,0.1164570890832692,0.1164570890832692,3414.11,2,True,True
train_climax_manual_tuned_weights_s42,climax,manual_tuned_weights,42,reuse_best,reused,358941,0.1028797528706491,,,0,True,False
train_climax_manual_tuned_weights_s43,climax,manual_tuned_weights,43,reuse_best,reused,363941,0.1031319643370807,,,0,True,False
train_climax_manual_tuned_weights_s44,climax,manual_tuned_weights,44,reuse_best,reused,358941,0.1024752536322921,,,0,True,False
train_climax_no_localization_head_s42,climax,no_localization_head,42,reuse_best,reused,262941,0.0979754972504451,,,0,True,False
train_climax_no_localization_head_s43,climax,no_localization_head,43,budget_train,completed,6000,0.11566650448367,0.11566650448367,3897.48,2,True,True
train_climax_no_localization_head_s44,climax,no_localization_head,44,budget_train,completed,6000,0.1161392843350768,0.1161392843350768,3587.18,2,True,True
train_climax_no_constraint_type_head_s42,climax,no_constraint_type_head,42,reuse_best,reused,351941,0.098325407365337,,,0,True,False
train_climax_no_constraint_type_head_s43,climax,no_constraint_type_head,43,reuse_best,reused,351941,0.098991060280241,,,0,True,False
train_climax_no_constraint_type_head_s44,climax,no_constraint_type_head,44,reuse_best,reused,350941,0.0987558496417477,,,0,True,False
train_climax_no_minimal_change_s42,climax,no_minimal_change,42,budget_train,completed,6000,0.1147320501040667,0.1147320501040667,3544.88,2,True,True
train_climax_no_minimal_change_s43,climax,no_minimal_change,43,budget_train,completed,6000,0.1153444678056985,0.1153444678056985,3873.61,2,True,True
train_climax_no_minimal_change_s44,climax,no_minimal_change,44,budget_train,completed,6000,0.1150098405778408,0.1150098405778408,3430.36,2,True,True
train_climax_direct_state_prediction_s42,climax,direct_state_prediction,42,reuse_best,reused,377941,0.096572655136697,,,0,True,False
train_climax_direct_state_prediction_s43,climax,direct_state_prediction,43,reuse_best,reused,377941,0.0973323613870889,,,0,True,False
train_climax_direct_state_prediction_s44,climax,direct_state_prediction,44,reuse_best,reused,376941,0.0969472537981346,,,0,True,False
train_climax_no_moisture_constraint_s42,climax,no_moisture_constraint,42,budget_train,completed,6000,0.1136745191179215,0.1136745191179215,3516.48,2,True,True
train_climax_no_moisture_constraint_s43,climax,no_moisture_constraint,43,budget_train,completed,6000,0.1142648204695433,0.1142648204695433,3796.27,2,True,True
train_climax_no_moisture_constraint_s44,climax,no_moisture_constraint,44,budget_train,completed,6000,0.1131555354222655,0.1131555354222655,3616.28,2,True,True
train_climax_no_hydrostatic_constraint_s42,climax,no_hydrostatic_constraint,42,reuse_best,reused,357941,0.0989326616981998,,,0,True,False
train_climax_no_hydrostatic_constraint_s43,climax,no_hydrostatic_constraint,43,reuse_best,reused,359941,0.0995914381928742,,,0,True,False
train_climax_no_hydrostatic_constraint_s44,climax,no_hydrostatic_constraint,44,reuse_best,reused,358941,0.0990617565112188,,,0,True,False
train_climax_no_advection_constraint_s42,climax,no_advection_constraint,42,reuse_best,reused,357941,0.0992800528183579,,,0,True,False
train_climax_no_advection_constraint_s43,climax,no_advection_constraint,43,reuse_best,reused,359941,0.0990415869746357,,,0,True,False
train_climax_no_advection_constraint_s44,climax,no_advection_constraint,44,reuse_best,reused,358941,0.0993658555671572,,,0,True,False
train_climax_no_spectral_constraint_s42,climax,no_spectral_constraint,42,budget_train,completed,6000,0.1150775169953703,0.1150775169953703,3753.87,2,True,True
train_climax_no_spectral_constraint_s43,climax,no_spectral_constraint,43,budget_train,completed,6000,0.1168089949060231,0.1168089949060231,3642.42,2,True,True
train_climax_no_spectral_constraint_s44,climax,no_spectral_constraint,44,budget_train,completed,6000,0.1156553227920085,0.1156553227920085,3568.8,2,True,True
train_fourcastnet_conservefm_full_s42,fourcastnet,conservefm_full,42,budget_train,completed,6000,0.0603158175945282,0.0603158175945282,3426.15,2,True,True
train_fourcastnet_conservefm_full_s43,fourcastnet,conservefm_full,43,budget_train,completed,6000,0.0581907657906413,0.0581907657906413,4162.63,2,True,True
train_fourcastnet_conservefm_full_s44,fourcastnet,conservefm_full,44,budget_train,completed,6000,0.0586331207305192,0.0586331207305192,4459.58,2,True,True
train_prithvi_wxc_conservefm_full_s42,prithvi_wxc,conservefm_full,42,budget_train,completed,6000,0.241869363002479,0.241869363002479,4367.06,2,True,True
train_prithvi_wxc_conservefm_full_s43,prithvi_wxc,conservefm_full,43,budget_train,completed,6000,0.2332301521673798,0.2332301521673798,4276.31,2,True,True
train_prithvi_wxc_conservefm_full_s44,prithvi_wxc,conservefm_full,44,budget_train,completed,6000,0.2411766764707863,0.2411766764707863,4266.15,2,True,True
