method,n,rmse_mean,rmse_std,mae_mean,loc_mean,type_mean,family,label
conservefm_full,3,428.8780893113878,269.5607436728018,73.67068998548719,0.09901663988682936,0.2590277777777778,Core / prediction,Original full
direct_state_prediction,3,144.99761369493274,9.163763262926224,48.06588060590956,0.0863030887526191,0.20972222222222223,Core / prediction,Direct state prediction
equal_constraint_weights,3,267.1592697143555,105.72123900508714,58.67924840715196,0.08511512298329955,0.20972222222222223,Constraint ablations,Equal constraint weights
manual_tuned_weights,3,409.01972575717497,369.6271734408921,64.362445280287,0.07413489981393771,0.20451388888888888,Weighting / routing,Manual tuned weights
no_advection_constraint,3,189.41030362447108,3.1954848267431117,54.905406443278,0.06689273978167366,0.20243055555555553,Constraint ablations,No advection constraint
no_advection_corruption,3,209.75027775234648,17.70225802649555,57.06489948696561,0.08669209928173378,0.22291666666666665,Corruption ablations,No advection corruption
no_constraint_type_head,3,190.65367062886557,4.712136905327029,54.55740080939399,0.056250378371098274,,Constraint ablations,No type head
no_corruption_pretrain,3,166.150420888265,2.2395997889782016,50.19661212497288,0.0628775043343719,0.20000000000000004,Core / prediction,No corruption pretraining
no_hydrostatic_constraint,3,195.31592076619464,8.967784569661575,56.66589715745713,0.023027656988470934,0.20243055555555553,Constraint ablations,No hydrostatic constraint
no_hydrostatic_corruption,3,209.3507412804498,51.83292985650666,58.287967130872936,0.11354053685792877,0.32569444444444445,Corruption ablations,No hydrostatic corruption
no_localization_head,3,307.1095734066433,101.91397217622908,66.35149510701497,,0.3163194444444444,Heads / objective,No localization head
no_minimal_change,3,247.07258317735463,1.549549717593031,62.5108682844374,0.15364848156940647,0.378125,Heads / objective,No minimal-change term
no_moisture_constraint,3,235.20109142727324,1.8734758250119803,62.71749072604709,0.16662964182913936,0.3920138888888889,Constraint ablations,No moisture constraint
no_moisture_corruption,3,234.5516318427192,2.9492133923026076,61.653430684407546,0.1550547590329491,0.37743055555555555,Corruption ablations,No moisture corruption
no_range_extreme_corruption,3,247.88720372517903,2.591099306406379,62.25586933559842,0.1532638662463998,0.3788194444444444,Corruption ablations,No range/extreme corruption
no_spectral_constraint,3,250.01794323391383,0.6857050320789301,63.325150362650554,0.15977211446776587,0.3829861111111111,Constraint ablations,No spectral constraint
no_spectral_corruption,3,252.0856101989746,1.318608938366329,63.4447303560045,0.14701161928729156,0.36215277777777777,Corruption ablations,No spectral corruption
residual_repair,3,246.33533825344512,0.4924749147620417,61.623894627889,,,Core / prediction,Residual repair
static_learned_weights,3,247.91057934231227,1.1919103380002032,63.065981313917376,0.1720192656812691,0.40625,Weighting / routing,Static learned weights
static_physics_loss,3,252.2597735087077,1.0629687708013857,64.22712427775065,,,Core / prediction,Static physics loss
