case,lead_hours,time,raw_nrmse,acc_nrmse,phys_nrmse,acc_gain,phys_gain
L6_C90587_T90588,6,2021-01-02T00:00:00.000000000,0.29861757159233093,0.18540050089359283,0.21073713898658752,0.1132170706987381,0.08788043260574341
L6_C90681_T90682,6,2021-01-25T12:00:00.000000000,0.29370206594467163,0.18279483914375305,0.20847812294960022,0.11090722680091858,0.08522394299507141
L6_C90775_T90776,6,2021-02-18T00:00:00.000000000,0.30706918239593506,0.1850961595773697,0.2109002023935318,0.12197302281856537,0.09616898000240326
L6_C90869_T90870,6,2021-03-13T12:00:00.000000000,0.28171399235725403,0.17664900422096252,0.19947108626365662,0.1050649881362915,0.08224290609359741
L6_C90963_T90964,6,2021-04-06T00:00:00.000000000,0.28442421555519104,0.17813821136951447,0.20184440910816193,0.10628600418567657,0.08257980644702911
L6_C91057_T91058,6,2021-04-29T12:00:00.000000000,0.289156436920166,0.1798025518655777,0.20304842293262482,0.10935388505458832,0.0861080139875412
L6_C91151_T91152,6,2021-05-23T00:00:00.000000000,0.29915016889572144,0.1896940916776657,0.21309985220432281,0.10945607721805573,0.08605031669139862
L6_C91245_T91246,6,2021-06-15T12:00:00.000000000,0.2958376705646515,0.1889144331216812,0.21348653733730316,0.10692323744297028,0.08235113322734833
L6_C91339_T91340,6,2021-07-09T00:00:00.000000000,0.29577627778053284,0.19165295362472534,0.2145150899887085,0.1041233241558075,0.08126118779182434
L6_C91433_T91434,6,2021-08-01T12:00:00.000000000,0.311061292886734,0.19775351881980896,0.22311995923519135,0.11330777406692505,0.08794133365154266
L6_C91527_T91528,6,2021-08-25T00:00:00.000000000,0.2898491621017456,0.18493971228599548,0.20918112993240356,0.10490944981575012,0.08066803216934204
L6_C91621_T91622,6,2021-09-17T12:00:00.000000000,0.29103943705558777,0.1845892369747162,0.20826001465320587,0.10645020008087158,0.0827794224023819
L6_C91715_T91716,6,2021-10-11T00:00:00.000000000,0.2910425662994385,0.18140125274658203,0.20461903512477875,0.10964131355285645,0.08642353117465973
